customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,OnlineSecurity,TechSupport
0041-XANIW,Male,0,Yes,No,61,One year,Yes,Mailed check,31.32,2005.04,No,No,Yes
1332-ALCPB,Female,0,Yes,No,40,Two year,Yes,Credit card (automatic),23.39,927.55,No,Yes,Yes
3490-DUAXO,Male,0,No,No,5,One year,Yes,Electronic check,72.07,426.09,No,Yes,No
2873-UFPNV,Male,1,Yes,No,22,Two year,Yes,Mailed check,57.09,1353.6,No,Yes,Yes
3375-RQRXM,Male,0,No,Yes,17,Two year,Yes,Bank transfer (automatic),115.56,1977.79,No,No,No
6307-EVXRE,Male,0,No,Yes,14,Two year,Yes,Electronic check,27.82,321.18,No,No,No
3304-OIECQ,Male,0,Yes,No,12,Month-to-month,Yes,Bank transfer (automatic),41.42,474.46,Yes,Yes,No
0325-SXQZZ,Female,0,No,No,50,Month-to-month,No,Electronic check,114.61,5768.0,No,No,Yes
6241-ZLTBD,Female,0,Yes,No,21,Two year,No,Mailed check,105.56,2223.76,Yes,Yes,No
1232-LKCBJ,Male,0,Yes,No,69,Two year,Yes,Mailed check,99.04,6878.23,No,Yes,No
0405-BSKZG,Female,0,Yes,No,0,Two year,No,Electronic check,97.53,0.0,No,No,No
4733-QZWKS,Female,0,Yes,No,23,Month-to-month,Yes,Mailed check,65.96,1466.87,Yes,No,No
6320-WBNND,Male,0,Yes,No,17,Month-to-month,No,Electronic check,112.63,1928.34,No,No,Yes
6973-DZNQU,Female,0,Yes,Yes,23,Two year,Yes,Electronic check,75.7,1740.89,No,Yes,Yes
3016-JWTZR,Male,0,Yes,No,56,Two year,No,Bank transfer (automatic),113.19,6373.36,Yes,No,Yes
3705-WNDNO,Female,0,No,Yes,68,Month-to-month,No,Electronic check,117.41,7956.81,No,No,No
3832-NFIKY,Male,0,Yes,Yes,64,Month-to-month,No,Electronic check,96.99,6195.65,No,No,No
0119-XFOCI,Female,0,No,Yes,29,One year,Yes,Bank transfer (automatic),62.78,1734.01,Yes,Yes,No
3598-NUMSU,Female,1,No,Yes,0,Month-to-month,No,Credit card (automatic),24.16,0.0,No,Yes,Yes
2854-KFNDQ,Male,0,No,No,6,Month-to-month,No,Mailed check,79.63,507.73,No,Yes,No
8764-SDBWJ,Male,1,No,Yes,32,Month-to-month,No,Credit card (automatic),94.96,2992.2,No,No,Yes
6437-ITVEZ,Male,0,Yes,Yes,3,Two year,Yes,Electronic check,115.04,272.49,No,No,No
